Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,1139.5,13674,USD,"Hosted Zones (4), Basic Checks Within AWS (500), Number of Elastic Network Interfaces (10)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,0,0,USD,
My Estimate,US East (N. Virginia),,S3 Standard,0,2304,27648,USD,S3 Standard storage (100 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,2039.55,24474.6,USD,"Operating system (Linux), Quantity (16), Pricing strategy (On-Demand Instances), Storage amount (60 GB), Instance type (t3.xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1616.08,19392.96,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (60 GB), Quantity (2), Instance type (db.t3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,4640.85,55690.2,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (100 TB per month), DT Outbound: Not selected (100 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,5996.59,71959.08,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,2206.43,26477.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (500 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0,0,USD,
,,,,,,,,
Total,,,,,19943,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Changes,,,,,,,,
"Route 53 - Changes Hosted Zones to 4, Increase Basic Checks within AWS to 1000, Add 10 Elastic Network Interface",,,,,,,,
S3 - Increase storage size to 100 TB/month,,,,,,,,
EC2 - Upgrade instance type to t3.xlarge,,,,,,,,
"RDS - Add 1 more instance (1 instance/AZ), upgrade instance type to t3.2xlarge",,,,,,,,
Application Load Balancer - increased number of processed GB per month (EC2 and IP),,,,,,,,
