Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,126,1512,USD,"Hosted Zones (2), Basic Checks Within AWS (300), Number of Elastic Network Interfaces ()"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,0,0,USD,
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,1217.28,14607.36,USD,"Operating system (Linux), Quantity (16), Pricing strategy (On-Demand Instances), Storage amount (60 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,513.12,6157.44,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (60 GB), Quantity (1), Instance type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,954.45,11453.4,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (50 TB per month), DT Outbound: Not selected (50 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,2936.43,35237.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,2206.43,26477.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (500 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0,0,USD,
,,,,,,,,
Total,,,,,8189.23,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
